Medicine name;EML section;Formulations;Indication;ATC codes;Combined with;Status
BCG vaccine;Immunologicals > Vaccines;All vaccines should comply with the WHO requirements for biological substances.;Need for immunization against tuberculosis;L03AX03;;Added
Ebola vaccine;Immunologicals > Vaccines;All vaccines should comply with the WHO requirements for biological substances.;Need for immunization against certain single viral diseases;J07BX02;;Added
Japanese encephalitis vaccine;Immunologicals > Vaccines;All vaccines should comply with the WHO requirements for biological substances.;Need for immunization against certain single viral diseases;J07BA02, J07BA03;;Added
Medicines for COVID-19;Medicines for COVID-19;Refer to WHO living guidelines;COVID-19;;;Added
abacavir;Antiretrovirals > Nucleoside/Nucleotide reverse transcriptase inhibitors;Oral > Solid: 300 mg tablet (as sulfate);Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified;J05AF06;;Added
abacavir + dolutegravir + lamivudine;Fixed-dose combinations of antiretrovirals;Oral > Solid > tablet: 60 mg (as sulfate) + 5 mg + 30 mg (dispersible, scored);Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified;J05AR13;;Added
abacavir + lamivudine;Fixed-dose combinations of antiretrovirals;Oral > Solid: 120 mg (as sulfate) + 60 mg tablet (dispersible, scored);Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified;J05AR02;;Added
abacavir + lamivudine + lopinavir + ritonavir;Fixed-dose combinations of antiretrovirals;Oral > Solid: 30 mg + 15 mg + 40 mg + 10 mg capsule containing oral granules;Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified;;;Removed
abemaciclib;Targeted therapies;;Other specified malignant neoplasms of breast;;;Removed
abiraterone;Hormones and antihormones;"Oral > Solid: 250 mg; 500 mg";Malignant neoplasms of prostate;L02BX03;;Added
acamprosate calcium;Medicines for alcohol use disorders;Oral > Solid > tablet: 333 mg;Disorders due to use of alcohol;N07BB03;;Added
acenocoumarol;Medicines affecting coagulation;;Other specified diseases of arteries or arterioles;;;Added
acenocoumarol;Medicines affecting coagulation;;Venous thromboembolism;;;Added
acenocoumarol;Medicines affecting coagulation;;Cerebral ischaemic stroke due to embolic occlusion;;;Added
acenocoumarol;Medicines affecting coagulation;;Atrial fibrillation;;;Added
acetazolamide;Ophthalmological preparations > Miotics and antiglaucoma medicines;Oral > Solid: 250 mg;Primary open-angle glaucoma;S01EC01;;Added
acetic acid;Ear, nose and throat medicines [c];Local > Otological > drops: 2% solution;Infectious diseases of external ear;S02AA10;;Added
acetylcysteine;Antidotes and other substances used in poisonings > Specific;"Parenteral > General injections > IV: 200 mg per  mL in 10 mL ampoule
Oral > Liquid: 10%; 20%";Acute or subacute hepatic failure;V03AB23;;Removed
acetylcysteine;Antidotes and other substances used in poisonings > Specific;"Parenteral > General injections > IV: 200 mg per  mL in 10 mL ampoule
Oral > Liquid: 10%; 20%";Exposure to or harmful effects of undetermined intent of analgesics, antipyretics or nonsteroidal anti-inflammatory drugs;V03AB23;;Added
acetylsalicylic acid;Medicines for acute migraine attacks;Oral > Solid: 300 to 500 mg;Migraine;N02BA01;;Added
acetylsalicylic acid;Anti-platelet medicines;Oral > Solid: 100 mg;Acute myocardial infarction;B01AC06;;Added
acetylsalicylic acid;Anti-platelet medicines;Oral > Solid: 100 mg;Cerebral ischaemic stroke;B01AC06;;Added
